m49_a3_country,Country,Year,Series,Value,Note,Source
4,Afghanistan,2020,which side of the road do they drive?,right,,World standards (unofficial) website
8,Albania,2020,which side of the road do they drive?,right,,World standards (unofficial) website
12,Algeria,2020,which side of the road do they drive?,right,,World standards (unofficial) website
16,American Samoa,2020,which side of the road do they drive?,right,,World standards (unofficial) website
20,Andorra,2020,which side of the road do they drive?,right,,World standards (unofficial) website
24,Angola,2020,which side of the road do they drive?,right,,World standards (unofficial) website
660,Anguilla,2020,which side of the road do they drive?,left,,World standards (unofficial) website
28,Antigua and Barbuda,2020,which side of the road do they drive?,left,,World standards (unofficial) website
32,Argentina,2020,which side of the road do they drive?,right,,World standards (unofficial) website
51,Armenia,2020,which side of the road do they drive?,right,,World standards (unofficial) website
533,Aruba,2020,which side of the road do they drive?,right,,World standards (unofficial) website
36,Australia,2020,which side of the road do they drive?,left,,World standards (unofficial) website
40,Austria,2020,which side of the road do they drive?,right,,World standards (unofficial) website
31,Azerbaijan,2020,which side of the road do they drive?,right,,World standards (unofficial) website
44,Bahamas,2020,which side of the road do they drive?,left,,World standards (unofficial) website
48,Bahrain,2020,which side of the road do they drive?,right,,World standards (unofficial) website
50,Bangladesh,2020,which side of the road do they drive?,left,,World standards (unofficial) website
52,Barbados,2020,which side of the road do they drive?,left,,World standards (unofficial) website
112,Belarus,2020,which side of the road do they drive?,right,,World standards (unofficial) website
56,Belgium,2020,which side of the road do they drive?,right,,World standards (unofficial) website
84,Belize,2020,which side of the road do they drive?,right,,World standards (unofficial) website
204,Benin,2020,which side of the road do they drive?,right,,World standards (unofficial) website
60,Bermuda,2020,which side of the road do they drive?,left,,World standards (unofficial) website
64,Bhutan,2020,which side of the road do they drive?,left,,World standards (unofficial) website
68,Bolivia,2020,which side of the road do they drive?,right,,World standards (unofficial) website
535,Bonaire,2020,which side of the road do they drive?,right,,World standards (unofficial) website
70,Bosnia and Herzegovina,2020,which side of the road do they drive?,right,,World standards (unofficial) website
72,Botswana,2020,which side of the road do they drive?,left,,World standards (unofficial) website
76,Brazil,2020,which side of the road do they drive?,right,,World standards (unofficial) website
92,British Virgin Islands,2020,which side of the road do they drive?,left,,World standards (unofficial) website
96,Brunei,2020,which side of the road do they drive?,left,,World standards (unofficial) website
100,Bulgaria,2020,which side of the road do they drive?,right,,World standards (unofficial) website
854,Burkina Faso,2020,which side of the road do they drive?,right,,World standards (unofficial) website
104,Burma (officially Myanmar),2020,which side of the road do they drive?,right,,World standards (unofficial) website
108,Burundi,2020,which side of the road do they drive?,right,,World standards (unofficial) website
116,Cambodia,2020,which side of the road do they drive?,right,,World standards (unofficial) website
120,Cameroon,2020,which side of the road do they drive?,right,,World standards (unofficial) website
124,Canada,2020,which side of the road do they drive?,right,,World standards (unofficial) website
136,Cayman Islands,2020,which side of the road do they drive?,left,,World standards (unofficial) website
140,Central African Republic,2020,which side of the road do they drive?,right,,World standards (unofficial) website
148,Chad,2020,which side of the road do they drive?,right,,World standards (unofficial) website
152,Chile,2020,which side of the road do they drive?,right,,World standards (unofficial) website
156,"China, Peoples Republic of",2020,which side of the road do they drive?,right,,World standards (unofficial) website
162,Christmas Island,2020,which side of the road do they drive?,left,,World standards (unofficial) website
166,Cocos (Keeling) Islands,2020,which side of the road do they drive?,left,,World standards (unofficial) website
170,Colombia,2020,which side of the road do they drive?,right,,World standards (unofficial) website
174,Comoros,2020,which side of the road do they drive?,right,,World standards (unofficial) website
180,"Congo, Democratic Republic of the (Congo-Kinshasa)",2020,which side of the road do they drive?,right,,World standards (unofficial) website
