m49_a3_country,Country,Year,Series,Value,Note,Source
,Afghanistan,2020,Electricity voltage,220 V,,World standards (unofficial) website
,Albania,2020,Electricity voltage,230 V,,World standards (unofficial) website
,Algeria,2020,Electricity voltage,230 V,,World standards (unofficial) website
,American Samoa,2020,Electricity voltage,120 V,,World standards (unofficial) website
,Andorra,2020,Electricity voltage,230 V,,World standards (unofficial) website
,Angola,2020,Electricity voltage,220 V,,World standards (unofficial) website
,Anguilla,2020,Electricity voltage,110 V,,World standards (unofficial) website
,Antigua and Barbuda,2020,Electricity voltage,230 V,,World standards (unofficial) website
,Argentina,2020,Electricity voltage,220 V,,World standards (unofficial) website
,Armenia,2020,Electricity voltage,230 V,,World standards (unofficial) website
,Aruba,2020,Electricity voltage,120 V,,World standards (unofficial) website
,Australia,2020,Electricity voltage,"230 V (officially, but in practice often 240 V)",,World standards (unofficial) website
,Austria,2020,Electricity voltage,230 V,,World standards (unofficial) website
,Azerbaijan,2020,Electricity voltage,220 V,,World standards (unofficial) website
,Bahamas,2020,Electricity voltage,230 V,,World standards (unofficial) website
,Bahrain,2020,Electricity voltage,120 V,,World standards (unofficial) website
,Bangladesh,2020,Electricity voltage,230 V,,World standards (unofficial) website
,Barbados,2020,Electricity voltage,230 V,,World standards (unofficial) website
,Belarus,2020,Electricity voltage,220 V,,World standards (unofficial) website
,Belgium,2020,Electricity voltage,115 V,,World standards (unofficial) website
,Belize,2020,Electricity voltage,220 V,,World standards (unofficial) website
,Benin,2020,Electricity voltage,230 V,,World standards (unofficial) website
,Bermuda,2020,Electricity voltage,110 V / 220 V,,World standards (unofficial) website
,Bhutan,2020,Electricity voltage,220 V,,World standards (unofficial) website
,Bolivia,2020,Electricity voltage,120 V,,World standards (unofficial) website
,Bonaire,2020,Electricity voltage,230 V,,World standards (unofficial) website
,Bosnia & Herzegovina,2020,Electricity voltage,230 V,,World standards (unofficial) website
,Botswana,2020,Electricity voltage,127 V,,World standards (unofficial) website
,Brazil,2020,Electricity voltage,230 V,,World standards (unofficial) website
,British Virgin Islands,2020,Electricity voltage,230 V,,World standards (unofficial) website
,Brunei,2020,Electricity voltage,127 V / 220 V,,World standards (unofficial) website
,Bulgaria,2020,Electricity voltage,110 V,,World standards (unofficial) website
,Burkina Faso,2020,Electricity voltage,240 V,,World standards (unofficial) website
,Burma (officially Myanmar),2020,Electricity voltage,230 V,,World standards (unofficial) website
,Burundi,2020,Electricity voltage,220 V,,World standards (unofficial) website
,Cambodia,2020,Electricity voltage,230 V,,World standards (unofficial) website
,Cameroon,2020,Electricity voltage,220 V,,World standards (unofficial) website
,Canada,2020,Electricity voltage,230 V,,World standards (unofficial) website
,Cayman Islands,2020,Electricity voltage,220 V,,World standards (unofficial) website
,Central African Republic,2020,Electricity voltage,120 V,,World standards (unofficial) website
,Chad,2020,Electricity voltage,230 V,,World standards (unofficial) website
,Channel Islands (Guernsey & Jersey),2020,Electricity voltage,230 V,,World standards (unofficial) website
,Chile,2020,Electricity voltage,120 V,,World standards (unofficial) website
,"China, People’s Republic of",2020,Electricity voltage,220 V,,World standards (unofficial) website
,Christmas Island,2020,Electricity voltage,220 V,,World standards (unofficial) website
,Cocos (Keeling) Islands,2020,Electricity voltage,230 V,,World standards (unofficial) website
,Colombia,2020,Electricity voltage,220 V,,World standards (unofficial) website
,Comoros,2020,Electricity voltage,220 V,,World standards (unofficial) website
,Congo-Brazzaville (Republic of the Congo),2020,Electricity voltage,230 V,,World standards (unofficial) website
,Congo-Kinshasa (Democratic Republic of the Congo),2020,Electricity voltage,230 V,,World standards (unofficial) website
,Cook Islands,2020,Electricity voltage,110 V,,World standards (unofficial) website
,Costa Rica,2020,Electricity voltage,220 V,,World standards (unofficial) website
,Côte d’Ivoire (Ivory Coast),2020,Electricity voltage,230 V,,World standards (unofficial) website
,Croatia,2020,Electricity voltage,220 V,,World standards (unofficial) website
,Cuba,2020,Electricity voltage,240 V,,World standards (unofficial) website
,Curaçao,2020,Electricity voltage,120 V,,World standards (unofficial) website
,Cyprus,2020,Electricity voltage,220 V,,World standards (unofficial) website
,"Cyprus, North (unrecognised, self-declared state)",2020,Electricity voltage,230 V,,World standards (unofficial) website
,Czech Republic (Czechia),2020,Electricity voltage,110 V / 220 V,,World standards (unofficial) website
,Denmark,2020,Electricity voltage,127 V,,World standards (unofficial) website
,Djibouti,2020,Electricity voltage,230 V,,World standards (unofficial) website
,Dominica,2020,Electricity voltage,230 V,,World standards (unofficial) website
,Dominican Republic,2020,Electricity voltage,230 V,,World standards (unofficial) website
,"Dubai (not a country, but a state (an emirate) within the United Arab Emirates)",2020,Electricity voltage,230 V,,World standards (unofficial) website
,East Timor (Timor-Leste),2020,Electricity voltage,220 V,,World standards (unofficial) website
,Ecuador,2020,Electricity voltage,230 V,,World standards (unofficial) website
,Egypt,2020,Electricity voltage,120 V,,World standards (unofficial) website
,El Salvador,2020,Electricity voltage,230 V,,World standards (unofficial) website
,England,2020,Electricity voltage,220 V,,World standards (unofficial) website
,Equatorial Guinea,2020,Electricity voltage,120 V,,World standards (unofficial) website
,Eritrea,2020,Electricity voltage,220 V,,World standards (unofficial) website
,Estonia,2020,Electricity voltage,120 V,,World standards (unofficial) website
,Ethiopia,2020,Electricity voltage,230 V,,World standards (unofficial) website
,Faeroe Islands,2020,Electricity voltage,220 V,,World standards (unofficial) website
,Falkland Islands,2020,Electricity voltage,230 V,,World standards (unofficial) website
,Fiji,2020,Electricity voltage,230 V,,World standards (unofficial) website
,Finland,2020,Electricity voltage,220 V,,World standards (unofficial) website
,France,2020,Electricity voltage,230 V,,World standards (unofficial) website
,French Guiana (French overseas department),2020,Electricity voltage,240 V,,World standards (unofficial) website
,French Polynesia (French overseas collectivity),2020,Electricity voltage,240 V,,World standards (unofficial) website
,Gabon (Gabonese Republic),2020,Electricity voltage,230 V,,World standards (unofficial) website
,Gambia,2020,Electricity voltage,230 V,,World standards (unofficial) website
,Gaza Strip (Gaza),2020,Electricity voltage,230 V,,World standards (unofficial) website
,Georgia,2020,Electricity voltage,220 V,,World standards (unofficial) website
,Germany,2020,Electricity voltage,220 V,,World standards (unofficial) website
,Ghana,2020,Electricity voltage,230 V,,World standards (unofficial) website
,Gibraltar,2020,Electricity voltage,230 V,,World standards (unofficial) website
,Great Britain (GB),2020,Electricity voltage,220 V,,World standards (unofficial) website
,Greece,2020,Electricity voltage,230 V,,World standards (unofficial) website
,Greenland,2020,Electricity voltage,230 V,,World standards (unofficial) website
,Grenada,2020,Electricity voltage,230 V,,World standards (unofficial) website
,Guadeloupe (French overseas department),2020,Electricity voltage,230 V,,World standards (unofficial) website
,Guam,2020,Electricity voltage,230 V,,World standards (unofficial) website
,Guatemala,2020,Electricity voltage,230 V,,World standards (unofficial) website
,Guinea,2020,Electricity voltage,230 V,,World standards (unofficial) website
,Guinea-Bissau,2020,Electricity voltage,230 V,,World standards (unofficial) website
,Guyana,2020,Electricity voltage,110 V,,World standards (unofficial) website
,Haiti,2020,Electricity voltage,120 V,,World standards (unofficial) website
,Holland (officially the Netherlands),2020,Electricity voltage,220 V,,World standards (unofficial) website
,Honduras,2020,Electricity voltage,220 V,,World standards (unofficial) website
,Hong Kong,2020,Electricity voltage,120 V / 240 V,,World standards (unofficial) website
,Hungary,2020,Electricity voltage,110 V,,World standards (unofficial) website
,Iceland,2020,Electricity voltage,230 V,,World standards (unofficial) website
,India,2020,Electricity voltage,120 V,,World standards (unofficial) website
,Indonesia,2020,Electricity voltage,220 V,,World standards (unofficial) website
,Iran,2020,Electricity voltage,230 V,,World standards (unofficial) website
,Iraq,2020,Electricity voltage,230 V,,World standards (unofficial) website
,Ireland (Eire),2020,Electricity voltage,230 V,,World standards (unofficial) website
,"Ireland, Northern",2020,Electricity voltage,230 V,,World standards (unofficial) website
,Isle of Man,2020,Electricity voltage,230 V,,World standards (unofficial) website
,Israel,2020,Electricity voltage,230 V,,World standards (unofficial) website
,Italy,2020,Electricity voltage,230 V,,World standards (unofficial) website
,Jamaica,2020,Electricity voltage,230 V,,World standards (unofficial) website
,Japan,2020,Electricity voltage,230 V,,World standards (unofficial) website
,Jordan,2020,Electricity voltage,230 V,,World standards (unofficial) website
,Kazakhstan,2020,Electricity voltage,230 V,,World standards (unofficial) website
,Kenya,2020,Electricity voltage,110 V,,World standards (unofficial) website
,Kiribati,2020,Electricity voltage,100 V,,World standards (unofficial) website
,"Korea, North",2020,Electricity voltage,230 V,,World standards (unofficial) website
,"Korea, South",2020,Electricity voltage,220 V,,World standards (unofficial) website
,Kosovo,2020,Electricity voltage,240 V,,World standards (unofficial) website
,Kuwait,2020,Electricity voltage,240 V,,World standards (unofficial) website
,Kyrgyzstan,2020,Electricity voltage,220 V,,World standards (unofficial) website
,Laos,2020,Electricity voltage,220 V,,World standards (unofficial) website
